id,issue,solve
46,Aplikasi internal crash saat membuka menu laporan.,Lakukan reinstall aplikasi dan update patch terbaru dari developer.
47,Permintaan instal software VPN baru untuk tim lapangan.,"Instal dan konfigurasi OpenVPN, serta buatkan file koneksi kustom."
48,Email sering masuk ke folder spam.,Tambahkan whitelist ke domain tertentu dan ubah setting spam filter.
49,Projector kantor tidak terdeteksi di laptop baru.,Install driver display baru dan gunakan adapter HDMI-VGA.
50,Permintaan backup data dari laptop lama ke cloud storage.,Sinkronisasi data ke Google Drive dan OneDrive dengan struktur folder baru.
51,Aplikasi HR tidak bisa load data karyawan.,Restart service database dan verifikasi koneksi API.
52,Permintaan membuat akun email baru untuk karyawan baru.,"Buat akun email, berikan akses ke grup divisi, dan kirim info login ke user terkait."
53,Permintaan akses WiFi untuk tamu perusahaan.,Buat akun guest WiFi dengan durasi terbatas dan kirim detail login ke user.
54,"Printer tidak bisa mencetak, status offline di komputer.","Restart printer dan spooler service, lalu reinstall driver jika perlu."
55,Permintaan backup email lama ke format PST.,Export file PST dari Outlook dan simpan di shared folder yang disetujui.
56,Mouse dan keyboard wireless tidak terdeteksi.,"Ganti baterai, tes dengan port USB lain, dan cek driver HID."
57,Printer tidak merespons saat mencetak dokumen dari Excel.,Reinstall driver printer dan pastikan default printer sudah diatur dengan benar.
58,Permintaan setup printer jaringan untuk ruangan HR.,"Konfigurasi printer via IP, install driver, dan sharing ke semua user HR."
59,Printer menghasilkan cetakan buram dan putus-putus.,"Bersihkan head cartridge, lakukan alignment, dan periksa tinta."
60,Permintaan ganti nama printer agar mudah dikenali oleh user.,Ubah nama printer dari panel kontrol dan update pada setiap PC yang terhubung.
61,Printer selalu mencetak halaman kosong setelah setiap dokumen.,"Reset printer ke default, update driver, dan cek pengaturan kertas."
62,Permintaan mengatur akses cetak berdasarkan departemen.,Konfigurasi printer server dengan policy group untuk membatasi akses.
63,Printer tiba-tiba tidak dikenali oleh komputer setelah update Windows.,"Rollback driver printer, disable auto driver update via Group Policy."
64,Permintaan instalasi printer wireless baru di ruang meeting.,"Hubungkan printer ke Wi-Fi, install driver, dan sambungkan ke semua laptop via sharing."
65,Printer error “Paper Jam” padahal tidak ada kertas nyangkut.,"Bersihkan roller, update firmware, dan reset sensor kertas."
66,Permintaan laporan jumlah cetak bulanan dari printer utama kantor.,"Aktifkan fitur print log, export laporan dari printer web admin panel."
67,"Printer berhenti mencetak setelah 3 halaman, muncul error ""spooler berhenti"".","Restart service print spooler, clear antrean cetak, dan update driver."
68,Permintaan konfigurasi cetak warna untuk dokumen presentasi.,"Aktifkan opsi warna, kalibrasi hasil cetak, dan atur default printer ke mode color."
69,Hasil cetak terlalu pudar meskipun tinta masih penuh.,Jalankan deep cleaning nozzle dan update firmware printer.
70,Permintaan akses cetak dari laptop pribadi saat WFO.,"Install driver secara manual, hubungkan ke printer Wi-Fi, dan tes cetak."
71,Printer terus mencetak berulang dokumen lama.,Hapus job yang stuck di print spooler dan restart komputer & printer.
72,Permintaan instalasi Microsoft Teams di laptop baru.,"Install Teams, login akun Microsoft 365, dan set autostart di Windows."
73,Keyboard laptop tidak merespons pada beberapa tombol.,"Bersihkan keyboard, tes via external keyboard, ajukan penggantian sparepart jika rusak."
74,Permintaan buatkan akun email untuk karyawan baru.,"Buat akun di Google Workspace, tambahkan ke grup divisi, dan kirim kredensial."
75,"Email tidak masuk, hanya bisa kirim.","Cek quota mailbox, MX record, dan nonaktifkan filter spam eksternal."
76,Permintaan akses remote desktop untuk staf WFH.,"Aktifkan remote desktop, tambahkan ke firewall, dan buat jadwal VPN aktif."
77,Proyektor kantor tidak menampilkan tampilan dari laptop user.,"Ganti kabel HDMI, cek resolusi tampilan, dan pastikan output display aktif."
78,Permintaan aktivasi lisensi Adobe Photoshop.,Aktivasi melalui Adobe Admin Console dan pastikan user sudah tergabung ke grup lisensi.
79,Laptop user sering hang saat membuka file besar.,"Upgrade RAM, bersihkan temporary files, dan nonaktifkan startup apps yang tidak penting."
80,Permintaan buat grup diskusi untuk tim proyek di Google Chat.,"Buat Google Chat Space, tambahkan anggota, dan atur peran admin/moderator."
81,Layar laptop berkedip-kedip saat digunakan.,"Periksa kabel layar, update driver graphics, dan jika perlu, ganti panel layar."
82,Permintaan pembuatan akun Zoom untuk rapat internal.,Buat akun Zoom baru dan tambahkan ke calendar dengan akses meeting yang diperlukan.
83,Permintaan upgrade RAM laptop untuk tugas desain grafis.,"Beli dan pasang RAM tambahan, lakukan restart dan cek kestabilan sistem setelah upgrade."
84,Tidak bisa mengakses file berbagi di jaringan LAN.,"Cek konfigurasi SMB, pastikan jaringan berjalan normal, dan update sistem firewall."
85,Permintaan akses aplikasi ERP untuk user baru.,"Buatkan akun di ERP, tentukan hak akses, dan kirimkan kredensial login."
86,Printer wireless tidak terhubung ke jaringan Wi-Fi.,"Pastikan printer terhubung ke Wi-Fi, periksa konfigurasi IP dan restart printer."
87,Permintaan reset password untuk akun admin internal.,"Reset password, kirimkan instruksi login baru, dan pastikan email sudah diterima."
88,Tidak bisa membuka aplikasi Microsoft Word setelah update Windows.,"Lakukan repair installation untuk Microsoft Office, periksa pembaruan Windows."
89,Permintaan konfigurasi VPN untuk akses remote.,"Atur koneksi VPN, buat profil server, dan kirimkan instruksi koneksi melalui email."
90,Monitor eksternal tidak terdeteksi setelah koneksi HDMI.,"Periksa kabel HDMI, pastikan driver display terinstal dengan benar, dan ubah setting resolusi."
91,Bagaimana cara mengatur ulang kata sandi akun saya?,Buka halaman pengaturan akun dan pilih 'Lupa kata sandi' untuk mengatur ulang.
92,Kenapa saya tidak bisa terhubung ke jaringan WiFi kantor?,"Pastikan WiFi aktif, masukkan kata sandi dengan benar, dan dekat dengan router."
93,"Laptop saya tidak bisa menyala, apa yang harus saya lakukan?","Periksa adaptor daya, coba tekan tombol power selama 10 detik, atau hubungi IT."
94,Saya lupa password login Windows saya.,Gunakan fitur 'Lupa Password' atau minta reset ke administrator IT.
95,Printer kantor tidak merespons saat saya mencetak.,"Pastikan printer menyala, terhubung ke jaringan, dan coba restart printer."
96,Bagaimana cara mengakses email kantor saya?,Gunakan aplikasi Outlook atau buka webmail di browser dan login dengan akun kantor.
97,Kenapa koneksi VPN saya putus terus?,"Cek koneksi internet, pastikan VPN client terbaru, dan coba koneksi ulang."
98,"File saya tidak bisa dibuka, muncul pesan 'corrupt'.",Coba buka di perangkat lain atau gunakan software pemulihan file.
99,Kenapa aplikasi tiba-tiba tertutup sendiri?,Update aplikasi ke versi terbaru dan pastikan perangkat tidak kehabisan memori.
100,Bagaimana cara menginstal ulang Microsoft Office?,"Login ke akun Microsoft, unduh installer, dan ikuti panduan instalasi."
101,Bagaimana cara mengatur ulang kata sandi akun saya?,Buka halaman pengaturan akun dan pilih 'Lupa kata sandi' untuk mengatur ulang.
102,Kenapa saya tidak bisa terhubung ke jaringan WiFi kantor?,"Pastikan WiFi aktif, masukkan kata sandi dengan benar, dan dekat dengan router."
103,"Laptop saya tidak bisa menyala, apa yang harus saya lakukan?","Periksa adaptor daya, coba tekan tombol power selama 10 detik, atau hubungi IT."
104,Saya lupa password login Windows saya.,Gunakan fitur 'Lupa Password' atau minta reset ke administrator IT.
105,Printer kantor tidak merespons saat saya mencetak.,"Pastikan printer menyala, terhubung ke jaringan, dan coba restart printer."
106,Bagaimana cara mengakses email kantor saya?,Gunakan aplikasi Outlook atau buka webmail di browser dan login dengan akun kantor.
107,Kenapa koneksi VPN saya putus terus?,"Cek koneksi internet, pastikan VPN client terbaru, dan coba koneksi ulang."
108,"File saya tidak bisa dibuka, muncul pesan 'corrupt'.",Coba buka di perangkat lain atau gunakan software pemulihan file.
109,Kenapa aplikasi tiba-tiba tertutup sendiri?,Update aplikasi ke versi terbaru dan pastikan perangkat tidak kehabisan memori.
110,Bagaimana cara menginstal ulang Microsoft Office?,"Login ke akun Microsoft, unduh installer, dan ikuti panduan instalasi."
111,Bagaimana cara mengatur ulang kata sandi akun saya?,Buka halaman pengaturan akun dan pilih 'Lupa kata sandi' untuk mengatur ulang.
112,Bagaimana cara mengganti foto profil di akun email kantor?,"Masuk ke pengaturan akun email Anda, lalu pilih opsi untuk mengganti foto profil."
113,"Saya tidak bisa mengakses Google Drive kantor, apa solusinya?","Pastikan Anda menggunakan akun email kantor dan sudah login. Jika masih gagal, hubungi admin IT."
114,"Tiba-tiba layar monitor saya mati, apa yang harus saya periksa?","Cek kabel daya dan kabel HDMI/VGA, lalu coba restart komputer Anda."
115,Mengapa saya tidak menerima notifikasi email masuk?,Periksa pengaturan notifikasi dan sinkronisasi email di perangkat Anda.
116,"File Excel saya tidak bisa disimpan, muncul pesan error.",Pastikan lokasi penyimpanan tersedia dan tidak read-only. Coba simpan dengan nama berbeda.
117,Kenapa speaker laptop saya tidak mengeluarkan suara?,"Cek pengaturan volume, pastikan tidak mute, dan update driver audio jika perlu."
118,Saya tidak bisa mengakses sistem absensi online.,Coba akses menggunakan browser yang berbeda atau bersihkan cache browser Anda.
119,Bagaimana cara menyambungkan proyektor ke laptop?,"Gunakan kabel HDMI/VGA, lalu tekan tombol Windows + P dan pilih mode tampilan."
120,Kenapa software desain saya lag saat digunakan?,Pastikan laptop memenuhi spesifikasi minimal dan tutup aplikasi lain yang tidak diperlukan.
121,Saya tidak bisa upload file ke sistem internal kantor.,"Pastikan ukuran file tidak melebihi batas, dan periksa koneksi internet Anda."
122,Layar laptop menampilkan garis-garis.,"Update driver grafis dan uji layar eksternal. Pastikan semua langkah dilakukan sesuai instruksi. Jika masalah masih terjadi, hubungi IT support untuk bantuan lebih lanjut. Jangan lupa untuk mencatat pesan erroratau gejala lain yang muncul untuk memudahkan proses troubleshooting."
123,Aplikasi e-office tidak bisa dibuka.,"Clear cache browser dan buka ulang dengan mode incognito. Pastikan semua langkah dilakukan
sesuai instruksi. Jika masalah masih terjadi, hubungi IT support untuk bantuan lebih lanjut. Jangan lupa untuk
mencatat pesan error atau gejala lain yang muncul untuk memudahkan proses troubleshooting.
Masalah"
124,Onedrive tidak sinkron dengan file lokal.,"Klik kanan ikon OneDrive dan pilih opsi sinkronisasi ulang. Pastikan semua langkah dilakukan sesuai
instruksi. Jika masalah masih terjadi, hubungi IT support untuk bantuan lebih lanjut. Jangan lupa untuk
mencatat pesan error atau gejala lain yang muncul untuk memudahkan proses troubleshooting."
125,Tidak bisa mengakses sistem absensi online.,"Periksa koneksi jaringan, login ulang ke sistem, dan bersihkan cache browser. Pastikan semua
langkah dilakukan sesuai instruksi. Jika masalah masih terjadi, hubungi IT support untuk bantuan lebih lanjut.
Jangan lupa untuk mencatat pesan error atau gejala lain yang muncul untuk memudahkan proses
troubleshooting."
126,Icon aplikasi hilang dari taskbar.,"Klik kanan taskbar, buka Taskbar Settings, dan aktifkan icon yang hilang. Pastikan semua langkah
dilakukan sesuai instruksi. Jika masalah masih terjadi, hubungi IT support untuk bantuan lebih lanjut. Jangan
lupa untuk mencatat pesan error atau gejala lain yang muncul untuk memudahkan proses troubleshooting."
127,Dokumen word tidak bisa disimpan.,"Cek lokasi penyimpanan dan pastikan dokumen tidak terbuka di aplikasi lain. Pastikan semua langkah
dilakukan sesuai instruksi. Jika masalah masih terjadi, hubungi IT support untuk bantuan lebih lanjut. Jangan
lupa untuk mencatat pesan error atau gejala lain yang muncul untuk memudahkan proses troubleshooting."
128,Keyboard mengetik sendiri.,"Bersihkan keyboard dan pastikan tidak ada tombol yang tertekan terus-menerus. Pastikan semua
langkah dilakukan sesuai instruksi. Jika masalah masih terjadi, hubungi IT support untuk bantuan lebih lanjut.
Jangan lupa untuk mencatat pesan error atau gejala lain yang muncul untuk memudahkan proses
troubleshooting."
129,Notifikasi windows update terus muncul.,"Matikan notifikasi sementara dari pengaturan sistem. Pastikan semua langkah dilakukan sesuai 
instruksi. Jika masalah masih terjadi, hubungi IT support untuk bantuan lebih lanjut. Jangan lupa untuk  
mencatat pesan error atau gejala lain yang muncul untuk memudahkan proses troubleshooting."
130,Onedrive tidak sinkron dengan file lokal.,"Klik kanan ikon  OneDrive dan pilih opsi sinkronisasi ulang. Pastikan semua langkah dilakukan sesuai 
instruksi. Jika masalah masih terjadi, hubungi IT support untuk bantuan lebih lanjut. Jangan lupa untuk 
mencatat pesan error atau gejala lain yang muncul untuk memudahkan proses troubleshooting."
131,Keyboard mengetik huruf yang salah,"Ubah layout keyboard ke Bahasa Indonesia melalui Settings > Time & Language > Keyboard, lalu restart perangkat."
132,Layar monitor tidak tampil,"Periksa kabel power dan HDMI/VGA, pastikan monitor menyala. Jika masih gelap, coba ganti kabel atau port display."
133,Mouse tidak terdeteksi di komputer,"Periksa koneksi kabel atau dongle USB. Coba colok ke port lain, dan pastikan driver mouse sudah terinstal."
134,Kursor mouse tidak bergerak,"Ganti permukaan mousepad, bersihkan sensor optik di bagian bawah mouse, lalu coba di port USB lain."
135,Mouse wireless tidak berfungsi,"Ganti baterai mouse, pastikan receiver USB terpasang, dan lakukan re-pairing antara mouse dan receiver."
136,Klik kanan mouse tidak berfungsi,"Coba mouse di komputer lain untuk memastikan bukan kerusakan hardware. Jika masih sama, ganti perangkat."
137,Kursor bergerak sendiri tanpa digerakkan,"Bersihkan sensor optik dari debu, pastikan mouse digunakan di permukaan datar, dan nonaktifkan fitur enhance pointer precision."
138,Scroll wheel tidak berfungsi,"Bersihkan bagian roda scroll, lalu cek pengaturan di Control Panel > Mouse > Wheel. Jika perlu, reinstall driver."
139,Mouse terasa lag atau tersendat,"Pastikan tidak ada interferensi sinyal (bila wireless), ganti port USB, dan tutup aplikasi berat di background."
140,Pointer terlalu cepat atau lambat,Atur kecepatan pointer di Control Panel > Mouse > Pointer Options agar sesuai dengan preferensi pengguna.
141,Mouse sering terputus sambungannya,"Gunakan port USB langsung di motherboard, bukan hub eksternal, dan pastikan tidak ada kabel longgar."
142,Mouse tidak bekerja setelah update Windows,"Buka Device Manager > Mice and other pointing devices > Update Driver, atau rollback driver ke versi sebelumnya."
143,Mouse tidak berfungsi setelah dihubungkan ke docking station,"Coba cabut dan pasang ulang mouse langsung ke port USB laptop, lalu restart perangkat. Jika berfungsi, update firmware docking station."
144,Mouse sering disconnect saat digunakan,"Periksa port USB dan coba pindahkan ke port lain. Jika wireless, ganti baterai dan pastikan receiver tidak terhalang logam."
145,Klik ganda terjadi saat hanya menekan satu kali,"Atur kecepatan double-click di Control Panel > Mouse > Buttons. Jika masih terjadi, bersihkan tombol klik dari debu atau ganti switch."
146,Mouse delay saat digunakan di aplikasi grafis,"Tutup aplikasi berat lain, pastikan GPU driver terbaru, dan nonaktifkan fitur pointer precision."
147,Mouse tidak dikenali di BIOS,"Coba gunakan port USB 2.0, bukan USB 3.0. Jika masih gagal, aktifkan dukungan “Legacy USB” di BIOS."
148,Tombol samping mouse gaming tidak berfungsi,Install software driver bawaan mouse (misal Logitech G Hub atau Razer Synapse) untuk mengaktifkan tombol makro.
149,Mouse wireless tidak bisa pairing dengan receiver baru,"Pastikan receiver kompatibel, lalu tekan tombol connect di mouse selama beberapa detik untuk sinkronisasi ulang."
150,Gerakan mouse tidak presisi saat digunakan di layar ganda,"Sesuaikan resolusi dan refresh rate monitor agar sama, lalu atur posisi monitor di pengaturan Display Windows."
151,Mouse sering berhenti saat komputer dalam mode hemat daya,Nonaktifkan opsi “Allow computer to turn off this device to save power” di Device Manager > USB Root Hub.
152,Mouse tidak berfungsi setelah update driver USB,"Buka Device Manager, uninstall driver “Universal Serial Bus controllers”, lalu restart agar sistem menginstal ulang driver otomatis."
153,Mouse tidak bisa digunakan setelah PC dinyalakan dari mode sleep,"Cabut dan pasang kembali mouse ke port USB, lalu update driver USB di Device Manager."
154,Mouse sering berhenti ketika membuka aplikasi tertentu,"Periksa kompatibilitas aplikasi, update driver GPU, dan pastikan tidak ada konflik dengan software mouse."
155,Mouse wireless tidak berfungsi di laptop tetapi berfungsi di PC lain,"Hapus perangkat dari Device Manager, restart laptop, lalu lakukan pemasangan ulang receiver mouse."
156,Lampu optik mouse tidak menyala,"Periksa koneksi kabel atau ganti baterai (jika wireless). Jika tetap mati, kemungkinan kerusakan pada sensor LED."
157,Mouse tidak bekerja saat menggunakan remote desktop,Aktifkan opsi “Redirect mouse input” atau gunakan pengaturan bawaan Remote Desktop untuk akses penuh perangkat input.
158,Mouse klik kiri berfungsi ganda menjadi klik kanan,Atur kembali fungsi tombol di Control Panel > Mouse > Buttons atau reset ke pengaturan default.
159,Mouse tidak stabil di permukaan kaca,Gunakan mousepad berwarna gelap atau berbahan kain agar sensor optik dapat membaca permukaan dengan benar.
160,"Mouse kadang terdeteksi, kadang tidak","Gunakan port USB langsung di motherboard, hindari penggunaan hub eksternal, dan cek suhu port jika terlalu panas."
161,Mouse pointer bergerak sendiri saat laptop dicharge,"Gunakan adaptor asli, pastikan grounding listrik baik, atau gunakan alas isolasi untuk menghindari interferensi."
162,Mouse terasa berat dan respons lambat di aplikasi online meeting,"Tutup aplikasi lain di background, pastikan koneksi jaringan stabil, dan nonaktifkan pointer trails di pengaturan mouse."
163,Mouse berhenti bekerja setelah update driver grafis,"Rollback driver grafis ke versi sebelumnya, lalu restart komputer. Kadang driver GPU baru konflik dengan input device."
164,Pointer mouse melompat-lompat saat digunakan,"Bersihkan sensor optik, matikan fitur pointer precision, dan gunakan alas datar berwarna gelap."
165,Mouse wireless tidak terdeteksi di USB port depan CPU,Coba colokkan ke port USB belakang (langsung ke motherboard) agar sinyal lebih stabil.
166,Mouse delay saat menggunakan koneksi Bluetooth,"Pastikan baterai cukup, jarak ke receiver dekat, dan tidak ada interferensi dari perangkat Bluetooth lain."
167,Tombol klik kiri terasa keras dan tidak responsif,"Bersihkan tombol dengan udara bertekanan, atau ganti switch mekanik jika mouse gaming."
168,Mouse tidak berfungsi setelah tersiram air,"Lepas baterai atau kabel segera, keringkan selama 24 jam, lalu uji kembali. Jika tidak berfungsi, perlu diganti."
169,Mouse tidak bisa klik pada area tertentu di layar,"Periksa driver display, nonaktifkan scaling aneh di Display Settings, lalu restart sistem."
170,Mouse lambat saat digunakan di software desain,Nonaktifkan efek visual Windows dan tingkatkan prioritas proses software desain di Task Manager.
171,Pointer bergerak ke arah berlawanan saat digerakkan,"Reset driver mouse, cabut lalu colokkan kembali, dan pastikan tidak ada software kontrol pihak ketiga aktif."
172,Mouse terasa licin dan tidak akurat di permukaan mengkilap,Gunakan mousepad karet atau kain untuk meningkatkan presisi sensor optik.
173,Mouse kadang tidak aktif setelah login Windows,Tambah jeda startup di Task Scheduler agar d
174,Mouse sering freeze saat membuka browser tertentu,"Hapus cache browser, update versi terbaru, dan nonaktifkan ekstensi berat."
175,Mouse tidak bisa digunakan saat menggunakan aplikasi virtual machine,Aktifkan pengaturan input capture di software virtual machine agar mouse dikenali.
176,Tombol tengah (scroll click) tidak berfungsi,Pastikan fungsi middle click diaktifkan di pengaturan driver mouse atau aplikasi bawaan perangkat.
177,Mouse wireless sering kehilangan koneksi di ruangan tertentu,Pindahkan receiver USB ke posisi lebih terbuka atau gunakan USB extender untuk mengurangi interferensi.
178,Kursor terlalu kecil dan sulit terlihat,Perbesar ukuran pointer melalui Settings > Accessibility > Mouse pointer.
179,Mouse tidak bisa digunakan setelah mengganti keyboard,Periksa konflik driver USB. Coba cabut semua perangkat USB dan pasang kembali satu per satu.
180,Mouse sering tidak berfungsi di port USB tertentu,Bersihkan port dengan blower dan update driver USB controller di Device Manager.
181,Gerakan mouse tersendat setelah lama tidak digunakan,Nonaktifkan mode hemat daya untuk port USB di Device Manager.
182,Mouse tetap menyala meskipun komputer sudah dimatikan,Matikan opsi “USB Power On” di BIOS agar port USB tidak terus mendapat daya setelah shutdown.
183,Keyboard tidak terdeteksi oleh komputer,"Periksa koneksi kabel atau port USB, lalu coba colok ke port lain."
184,Beberapa tombol tidak berfungsi,Bersihkan sela tombol dengan udara bertekanan dan pastikan tidak ada debu atau kotoran menempel.
185,Keyboard wireless tidak terhubung,Ganti baterai dan pastikan receiver USB terpasang dengan benar di port yang aktif.
186,Keyboard mengetik huruf berbeda,Ubah layout keyboard ke Bahasa Indonesia atau English (US) di pengaturan sistem.
187,Tombol Caps Lock menyala terus,"Tekan Caps Lock sekali lagi untuk menonaktifkan, atau periksa apakah tombolnya macet."
188,Keyboard Bluetooth tidak tersambung,Hapus perangkat dari daftar Bluetooth dan lakukan pairing ulang.
189,Keyboard lambat saat mengetik,Matikan fitur filter keys di Control Panel > Ease of Access > Keyboard settings.
190,Keyboard laptop tidak berfungsi sama sekali,Restart laptop dan coba aktifkan kembali driver keyboard di Device Manager.
191,Tombol spasi tidak berfungsi,Bersihkan area bawah tombol spasi dan pastikan pegas tombol masih normal.
192,Keyboard mengetik sendiri,Periksa apakah ada tombol yang macet atau tertekan terus-menerus.
193,Tombol enter tidak berfungsi,Coba gunakan keyboard eksternal untuk memastikan masalah ada di hardware atau software.
